;Jandaia;Cumaru
500;65.11;176.594
501;57.854;174.948
502;78.302;186.338
503;91.082;191.566
504;93.423;187.308
505;91.914;181.045
506;85.624;183.029
507;76.132;165.657
508;66.292;179.092
509;41.626;187.604
510;27.378;181.714
511;27.401;172
512;10.004;149.752
513;6.867;153.07
514;9.658;154.288
515;6.103;146.616
516;7.329;133.9
517;7.754;137.912
518;6.963;144.374
519;4.42;153.724
520;3.39;137.705
521;6.952;99.316
522;8.547;118.65
523;11.993;152.079
524;11.12;172.717
525;15.543;176.937
526;20.839;187.385
527;32.304;177.478
528;35.403;178.352
529;30.911;179.7
530;22.503;169.618
531;20.894;173.684
532;10.753;174.463
533;10.921;162.745
534;8.255;158.031
535;9.403;156.06
536;6.724;124.492
537;4.829;90.207
538;9.803;156.233
539;6.519;163.599
540;3.468;133.433
541;10.36;101.312
542;7.95;138.759
543;6.863;70.14
544;15.239;75.101
545;6.38;72.526
546;9.038;79.231
547;16.192;137.265
548;14.2;191.315
549;23.425;131.684
550;33.043;113.089
551;34.588;145.648
552;29.814;145.238
553;31.988;151.19
554;33.654;102.262
555;30.678;149.5
556;24.716;101.646
557;14.705;84.406
558;6.29;74.671
559;3.244;100.851
560;3.516;89.044
561;4.778;158.688
562;4.485;169.206
563;7.9;174.289
564;9.956;171.571
565;8.63;145.498
566;7.307;144.26
567;8.855;123.464
568;12.712;137.842
569;12.28;122.832
570;10.484;149.553
571;10.801;184.121
572;11.486;191.865
573;14.773;193.873
574;20.28;191.17
575;33.395;191.901
576;45.5;193.876
577;40.834;192.836
578;32.348;191.918
579;42.3;188.674
580;36.905;193.498
581;37.694;188.93
582;33.303;192.294
583;25.886;192.116
584;16.421;182.017
585;11.746;183.857
586;17.976;179.055
587;24.362;175.484
588;16.619;170.52
589;21.566;162.361
590;32.92;160.346
591;38.252;154.992
592;36.282;136.857
593;40.225;132.713
594;41.381;133.921
595;37.809;138.594
596;36.385;179.517
597;64.381;175.933
598;85.872;191.651
599;90.176;196.62
600;90.958;195.228
601;84.152;193.776
602;76.863;195.946
603;74.18;194.074
604;71.758;188.345
605;53.528;190.302
606;33.046;187.214
607;27.469;187.477
608;10.324;184.769
609;21.798;171.638
610;17.236;172.99
611;12.634;169.772
612;14.288;156.368
613;9.302;140.054
614;11.052;140.599
615;18.584;145.319
616;19.532;135.989
617;20.104;124.364
618;30.924;147.576
619;36.768;152.416
620;39.698;164.858
621;44.434;183.436
622;61.032;189.735
623;78.768;189.85
624;80.666;196.318
625;74.158;195.38
626;67.79;189.231
627;46.418;171.798
628;47.823;175.176
629;20.956;170.927
630;17.028;193.347
631;14.408;171.831
632;8.775;132.238
633;8.018;99.199
634;10.818;99.185
635;9.459;99.161
636;8.83;113.412
637;9.55;136.305
638;8.014;136.334
639;59.615;128.625
640;70.778;137.672
641;67.451;121.898
642;69.596;92.412
643;82.013;115.424
644;87.327;137.641
645;84.35;113.296
646;91.688;123.648
647;90.704;116.3
648;90.51;109.854
649;74.544;118.102
650;50.808;108.825
651;46.004;106.575
652;50.099;129.424
653;68.316;136.048
654;72.029;157.318
655;47.519;148.089
656;41.123;141.182
657;44.261;156.156
658;44.166;158.103
659;39.197;138.816
660;28.502;135.818
661;23.406;139.094
662;26.955;152.43
663;35.068;156.064
664;33.223;149.98
665;33.631;174.034
666;34.24;165.956
667;37.616;178.139
668;47.768;192.539
669;67.503;181.289
670;83.304;158.404
671;88.509;160.918
672;91.204;185.522
673;92.223;176.872
674;93.071;167.087
675;88.613;159.515
676;78.706;149.134
677;69.951;143.11
678;60.64;156.526
679;44.47;167.309
680;26.233;172.311
681;31.031;170.858
682;26.482;174.389
683;19.766;171.762
684;24.775;155.816
685;33.758;126.652
686;41.626;113.718
687;56.5;154.53
688;52.813;169.382
689;48.342;167.618
690;48.016;180.64
691;53.861;192.782
692;63.919;187.997
693;80.131;177.214
694;85.013;176.946
695;87.86;168.119
696;82.433;161.868
697;86.254;171.584
698;85.043;162.166
699;80.549;183.144
700;79.413;190.55
701;61.55;191.936
702;40.79;190.233
703;47.538;190.877
704;37.151;195.353
705;50.695;196.523
706;35.044;192.862
707;32.503;185.358
708;29.37;183.341
709;23.52;177.993
710;26.836;165.2
711;27.144;156.548
712;27.18;150.392
713;33.767;156.138
714;20.986;185.945
715;19.914;189.272
716;25.597;194.49
717;36.406;194.181
718;56.498;192.824
719;66.444;197.15
720;68.269;191.966
721;60.191;193.581
722;67.207;192.616
723;70.428;194.274
724;60.23;190.609
725;63.19;189.566
726;67.915;188.107
727;49.175;183.943
728;36.108;188.913
729;31.086;189.462
730;40.058;184.694
731;35.94;183.308
732;29.182;180.294
733;25.983;179.985
734;26.337;177.324
735;25.305;172.455
736;37.53;162.15
737;49.781;162.994
738;39.961;185.676
739;37.517;188.92
740;34.034;187.142
741;45.225;192.01
742;52.147;188.913
743;74.557;188.664
744;79.755;185.646
